dyad_label,dyad_id,modality,condition_unit,n_samples,duration_sec,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient
pce14,pce14__ECG__rest1,ECG,rest1,180,180.0,0.02384716978342912,0.3128222494698055,,0.0,
pce14,pce14__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.04772461579302979,0.44125543330583983,,0.0,
pce14,pce14__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.022130157369482508,0.903986040092597,17.5,0.45670789724072314,
pce14,pce14__EDA__rest1,EDA,rest1,180,180.0,0.038402664910534366,0.906230697365614,41.0,0.794701986754967,
pce14,pce14__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.17583610598548624,0.9930468160470938,36.0,0.7045009784735812,
pce14,pce14__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.4083932829754514,0.994775316443177,28.3125,1.8268315889628925,
pce14,pce14__RESP__rest1,RESP,rest1,180,180.0,-0.02410424285554672,0.3179382284222327,,0.0,
pce14,pce14__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.04866442473966305,0.536857583716702,,0.0,
pce14,pce14__RESP__trials_concat,RESP,trials_concat,1080,1080.0,-0.005477098980318554,0.7729153447375388,23.0,0.11417697431018078,
pce15,pce15__ECG__rest1,ECG,rest1,180,180.0,0.0688912232582916,0.3827907947553574,,0.0,
pce15,pce15__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.05492008296570887,0.6352025204955005,5.5,0.46966731898238745,
pce15,pce15__ECG__trials_concat,ECG,trials_concat,1080,1080.0,-0.0005330150050475805,0.6697446250266239,5.25,0.45670789724072314,
pce15,pce15__EDA__rest1,EDA,rest1,180,180.0,0.08090721747571722,0.4932404052095319,,0.0,
pce15,pce15__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.22513793504934704,0.9928649930771387,25.333333333333332,1.2915851272015655,
pce15,pce15__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.20050045579640738,0.9823921368448494,27.454545454545453,1.2559467174119887,
pce15,pce15__RESP__rest1,RESP,rest1,180,180.0,0.01823813759512958,0.5072651775145169,,0.0,
pce15,pce15__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.12554789300028701,0.7594347496710097,9.666666666666666,0.7045009784735812,
pce15,pce15__RESP__trials_concat,RESP,trials_concat,1080,1080.0,-0.04091218739000973,0.7325810974956399,10.2,0.570884871550904,
pce16,pce16__ECG__rest1,ECG,rest1,180,180.0,-0.033352623867281765,0.7675078205551669,10.0,1.589403973509934,
pce16,pce16__ECG__rest_postblock,ECG,rest_postblock,540,540.0,-0.06192438781870403,0.6518097140869935,8.0,0.9393346379647749,
pce16,pce16__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.20951749685339457,0.9532730536543292,20.58823529411765,1.9410085632730734,
pce16,pce16__EDA__rest1,EDA,rest1,180,180.0,0.060439844550341806,0.5562950039156912,8.0,0.794701986754967,
pce16,pce16__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.2743284342666652,0.9992571074232441,44.25,0.9393346379647749,
pce16,pce16__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.16539586510075915,0.9774345911541219,26.2,1.7126546146527117,
pce16,pce16__RESP__rest1,RESP,rest1,180,180.0,-0.059057551028305455,0.4198144058793159,,0.0,
pce16,pce16__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.039391162261393366,0.729579287124906,12.5,0.46966731898238745,
pce16,pce16__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.016019467122908138,0.7661235902116132,14.75,0.39961941008563273,
pce17,pce17__ECG__rest1,ECG,rest1,180,180.0,-0.092705514801827,0.35617534832475506,,0.0,
pce17,pce17__ECG__rest_postblock,ECG,rest_postblock,540,540.0,-0.09056911713605124,0.47406178761217266,,0.0,
pce17,pce17__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.0019371433349817185,0.8893717720046883,21.0,0.7992388201712655,
pce17,pce17__EDA__rest1,EDA,rest1,180,180.0,0.05084618792570654,0.599347635265188,22.0,0.794701986754967,
pce17,pce17__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.37099454272293764,0.9999905176196866,102.5,0.46966731898238745,
pce17,pce17__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.36430119721192417,0.9981762046163716,53.3,1.141769743101808,
pce17,pce17__RESP__rest1,RESP,rest1,180,180.0,0.0211469533322993,0.29901298853445174,,0.0,
pce17,pce17__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.023757004958929396,0.6124173086493012,12.0,0.23483365949119372,
pce17,pce17__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.02346920574782412,0.39934785314531046,,0.0,
pce18,pce18__ECG__rest1,ECG,rest1,180,180.0,0.03691273022796057,0.44266682039686944,,0.0,
pce18,pce18__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.003092899751854656,0.8970490222720119,11.75,0.9393346379647749,
pce18,pce18__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.22061129158260306,0.8852762316137446,18.933333333333334,1.7126546146527117,
pce18,pce18__EDA__rest1,EDA,rest1,180,180.0,0.08234405449032477,0.44531274177564356,,0.0,
pce18,pce18__EDA__rest_postblock,EDA,rest_postblock,540,540.0,-0.06659133846526251,0.9937936731711388,27.5,0.46966731898238745,
pce18,pce18__EDA__trials_concat,EDA,trials_concat,1080,1080.0,-0.049197757529492105,0.951533107501406,17.875,0.8563273073263559,
pce18,pce18__RESP__rest1,RESP,rest1,180,180.0,0.028244826791377343,0.2234378305145744,,0.0,
pce18,pce18__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.00578630791807294,0.49861466152893175,,0.0,
pce18,pce18__RESP__trials_concat,RESP,trials_concat,1080,1080.0,-0.0008852260378065425,0.4195722481203009,,0.0,
pce19,pce19__ECG__rest1,ECG,rest1,180,180.0,0.12350779318184749,0.4804581830979584,,0.0,
pce19,pce19__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.04913743492901371,0.7030924718561802,6.75,0.9393346379647749,
pce19,pce19__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.00962865362354615,0.800240243777286,14.875,0.9134157944814463,
pce19,pce19__EDA__rest1,EDA,rest1,180,180.0,-0.26020318365699646,0.05127386502471394,,0.0,
pce19,pce19__EDA__rest_postblock,EDA,rest_postblock,540,540.0,-0.02216467191411209,0.999460732962103,32.666666666666664,0.5870841487279843,
pce19,pce19__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.044396847512299095,0.9940782520057012,28.9,1.141769743101808,
pce19,pce19__RESP__rest1,RESP,rest1,180,180.0,0.09871133423910931,0.5439884171426911,,0.0,
pce19,pce19__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.08385821712967788,0.7082787190949217,19.0,0.23483365949119372,
pce19,pce19__RESP__trials_concat,RESP,trials_concat,1080,1080.0,-0.06751031107829866,0.870442707162136,23.75,0.45670789724072314,
pce20,pce20__ECG__rest1,ECG,rest1,180,180.0,-0.06310462286513992,0.40659832497065207,,0.0,
pce20,pce20__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.14633899233888953,0.7542077808853282,21.333333333333332,0.7045009784735812,
pce20,pce20__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.0569356820668413,0.8664952217974127,18.142857142857142,0.7992388201712655,
pce20,pce20__EDA__rest1,EDA,rest1,180,180.0,0.03226232810540032,0.6954169196898972,11.0,0.3973509933774835,
pce20,pce20__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.06728798541701607,0.9956272765280614,35.333333333333336,0.7045009784735812,
pce20,pce20__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.35412199901829094,0.9755526440200062,22.0,2.055185537583254,
pce20,pce20__RESP__rest1,RESP,rest1,180,180.0,0.02444411493198584,0.25476338275407645,,0.0,
pce20,pce20__RESP__rest_postblock,RESP,rest_postblock,540,540.0,-0.01789922842597718,0.37465105112585173,,0.0,
pce20,pce20__RESP__trials_concat,RESP,trials_concat,1080,1080.0,-0.020227295223613946,0.37002580579411015,,0.0,
pce21,pce21__ECG__rest1,ECG,rest1,180,180.0,-0.19264367180667827,0.3146841774621446,,0.0,
pce21,pce21__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.08076216332811972,0.6493430099770474,9.5,0.9393346379647749,
pce21,pce21__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.03343035620108968,0.9029267616923815,11.625,0.9134157944814463,
pce21,pce21__EDA__rest1,EDA,rest1,180,180.0,-0.2056889850358598,0.3155107233025998,,0.0,
pce21,pce21__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.1033616173151152,0.8651009362310828,10.333333333333334,1.4090019569471623,
pce21,pce21__EDA__trials_concat,EDA,trials_concat,1080,1080.0,-0.17150795299229207,0.9714464320486409,12.0,0.7992388201712655,
pce21,pce21__RESP__rest1,RESP,rest1,180,180.0,-0.008468735381245977,0.265589189104511,,0.0,
pce21,pce21__RESP__rest_postblock,RESP,rest_postblock,540,540.0,-0.023789146609817218,0.6008722574852263,8.0,0.23483365949119372,
pce21,pce21__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.014461957912469507,0.5629915282031087,6.0,0.11417697431018078,
pce22,pce22__ECG__rest1,ECG,rest1,180,180.0,-0.13095576787381236,0.25319314779536717,,0.0,
pce22,pce22__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.018015979935700067,0.5160147792642444,2.0,0.23483365949119372,
pce22,pce22__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.17675438900353763,0.8944514731605191,14.181818181818182,1.2559467174119887,
pce22,pce22__EDA__rest1,EDA,rest1,180,180.0,0.12031983784984737,0.7494361811587722,19.5,1.589403973509934,
pce22,pce22__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.2454717009565925,0.9997337731831113,27.75,0.821917808219178,
pce22,pce22__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.05001145921994927,0.9648715899505613,17.0,1.027592768791627,
pce22,pce22__RESP__rest1,RESP,rest1,180,180.0,-0.013928160944195724,0.30589698653302294,,0.0,
pce22,pce22__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.026978871382053574,0.460020106914794,,0.0,
pce22,pce22__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.01596078245963089,0.6235406658409433,12.333333333333334,0.3425309229305424,
pce23,pce23__ECG__rest1,ECG,rest1,180,180.0,0.2562713931035112,0.7571416347766786,23.0,0.794701986754967,
pce23,pce23__ECG__rest_postblock,ECG,rest_postblock,540,540.0,0.025004665230327388,0.600341675205015,16.0,0.23483365949119372,
pce23,pce23__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.06169001530330123,0.8845756241954105,12.5,1.3701236917221695,
pce23,pce23__EDA__rest1,EDA,rest1,180,180.0,0.06429606903089133,0.46501114264233323,,0.0,
pce23,pce23__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.37553062970146306,0.9973160890784573,29.166666666666668,1.4090019569471623,
pce23,pce23__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.35014383091677104,0.9919516838855615,49.22222222222222,1.027592768791627,
pce23,pce23__RESP__rest1,RESP,rest1,180,180.0,0.011945209443200409,0.38717532507083696,,0.0,
pce23,pce23__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.003656694932408115,0.44663164684539347,,0.0,
pce23,pce23__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.03998202019556351,0.8039146576540881,18.0,0.6850618458610848,
pce24,pce24__EDA__rest1,EDA,rest1,180,180.0,-0.09942783396629247,0.1413749318144621,,0.0,
pce24,pce24__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.3453943373092754,0.9991701471731294,88.0,0.46966731898238745,
pce24,pce24__EDA__trials_concat,EDA,trials_concat,1080,1080.0,0.19468539840698815,0.9927305844087464,33.0,1.313035204567079,
pce24,pce24__RESP__rest1,RESP,rest1,180,180.0,-0.24626926479518668,0.19905632730922027,,0.0,
pce24,pce24__RESP__rest_postblock,RESP,rest_postblock,540,540.0,0.04155248340066425,0.3942074901170615,,0.0,
pce24,pce24__RESP__trials_concat,RESP,trials_concat,1080,1080.0,0.023508235884451594,0.7336234279281477,12.25,0.45670789724072314,
pce25,pce25__ECG__rest1,ECG,rest1,180,180.0,0.007430649941411777,0.4847152327740148,,0.0,
pce25,pce25__ECG__rest_postblock,ECG,rest_postblock,540,540.0,-0.06695239153276276,0.7529249758896595,11.0,0.23483365949119372,
pce25,pce25__ECG__trials_concat,ECG,trials_concat,1080,1080.0,0.04529905966217728,0.8463003728194907,21.7,1.141769743101808,
pce25,pce25__EDA__rest1,EDA,rest1,180,180.0,0.4889554350751455,0.8864469028231985,27.666666666666668,1.9867549668874174,
pce25,pce25__EDA__rest_postblock,EDA,rest_postblock,540,540.0,0.057577778727269976,0.9990830859917396,34.0,0.7045009784735812,
